epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6558,0.81702,3.07913,1.19617,0.0031,0.58333,0.33756,0.22539,0.95423,3.2778,1.12493,7.145e-05,7.145e-05,7.145e-05
2,35.4234,0.96046,2.96204,1.32507,0.00384,0.63889,0.46964,0.35005,1.04195,3.27687,1.19545,0.000154078,0.000154078,0.000154078
3,43.3635,0.95588,2.67193,1.29363,0.00495,0.69444,0.50861,0.39209,1.04941,3.18744,1.21901,0.00023331,0.00023331,0.00023331
4,49.6866,0.99448,2.25303,1.35828,0.00616,0.69444,0.49477,0.3233,1.13618,3.10487,1.24841,0.000309147,0.000309147,0.000309147
5,55.0016,0.8701,1.88094,1.19626,0.29349,0.41667,0.45057,0.35358,1.12437,2.96727,1.28817,0.000381589,0.000381589,0.000381589
6,59.1564,0.88574,1.7691,1.24885,1,0.14866,0.45014,0.35065,1.09949,2.8376,1.37465,0.000450635,0.000450635,0.000450635
7,63.3188,0.88664,1.6802,1.20821,1,0.17639,0.37991,0.27525,1.12487,2.80456,1.38641,0.000516286,0.000516286,0.000516286
8,66.5995,0.83942,1.76478,1.22233,0.99565,0.25,0.32921,0.25538,1.17415,2.77315,1.40998,0.000578542,0.000578542,0.000578542
9,69.7897,0.86308,1.74647,1.24785,1,0.24898,0.30881,0.23336,1.20442,2.66402,1.40154,0.000637403,0.000637403,0.000637403
10,72.4821,0.86203,1.64574,1.19981,0.6216,0.25,0.4343,0.34696,1.33761,2.58181,1.40355,0.000692868,0.000692868,0.000692868
11,75.0457,0.80849,1.53815,1.13409,0.90234,0.41667,0.4555,0.27152,1.43906,2.56203,1.53457,0.000744938,0.000744938,0.000744938
12,77.9226,1.00953,1.62616,1.34178,0.88829,0.41667,0.47373,0.31264,1.39872,2.28398,1.56558,0.000793612,0.000793612,0.000793612
13,80.7838,1.00738,1.70542,1.31355,0.54094,0.41667,0.44906,0.29803,1.37325,2.26244,1.60518,0.000838892,0.000838892,0.000838892
14,83.5971,0.90461,1.64549,1.25043,0.48013,0.5032,0.45126,0.29159,1.41186,2.19621,1.78972,0.000880776,0.000880776,0.000880776
15,86.4311,0.89768,1.71793,1.23862,0.48013,0.5032,0.45126,0.29159,1.41186,2.19621,1.78972,0.000919264,0.000919264,0.000919264
16,89.4193,0.79534,1.44204,1.11294,0.55976,0.47222,0.46047,0.30322,1.46717,2.21624,1.85011,0.000954358,0.000954358,0.000954358
17,92.342,0.91287,1.50668,1.29312,0.53769,0.5061,0.47551,0.26069,1.45571,2.34348,1.78033,0.000976293,0.000976293,0.000976293
18,95.016,0.94943,1.48031,1.23216,0.3836,0.47222,0.42931,0.2782,1.42886,2.42462,1.73549,0.000947999,0.000947999,0.000947999
19,97.6616,0.84011,1.40564,1.22264,0.3836,0.47222,0.42931,0.2782,1.42886,2.42462,1.73549,0.000919704,0.000919704,0.000919704
20,100.307,0.86402,1.43595,1.17979,0.41517,0.41667,0.42396,0.29246,1.40887,2.43736,1.75791,0.00089141,0.00089141,0.00089141
21,102.804,0.75574,1.28039,1.08108,0.31861,0.41667,0.42226,0.30798,1.38369,2.46911,1.81379,0.000863116,0.000863116,0.000863116
22,105.348,0.82034,1.46054,1.19733,0.33756,0.41667,0.41702,0.2907,1.39417,2.4935,1.93721,0.000834822,0.000834822,0.000834822
23,107.978,0.78478,1.35395,1.19003,0.33756,0.41667,0.41702,0.2907,1.39417,2.4935,1.93721,0.000806528,0.000806528,0.000806528
24,110.48,0.88453,1.35533,1.2248,0.55768,0.375,0.38598,0.22418,1.52277,2.61935,1.97737,0.000778233,0.000778233,0.000778233
25,113.07,0.83504,1.3101,1.1918,0.92371,0.375,0.42695,0.25312,1.56278,2.45397,1.96976,0.000749939,0.000749939,0.000749939
26,116.247,0.84012,1.3023,1.18299,0.91455,0.375,0.39186,0.24427,1.58735,2.27941,1.98404,0.000721645,0.000721645,0.000721645
27,119.178,0.79139,1.35883,1.19025,0.91455,0.375,0.39186,0.24427,1.58735,2.27941,1.98404,0.000693351,0.000693351,0.000693351
28,121.847,0.73855,1.30331,1.14159,0.89758,0.41167,0.43462,0.26566,1.41026,2.14596,1.74342,0.000665057,0.000665057,0.000665057
29,124.419,0.72443,1.21937,1.09236,0.96469,0.375,0.44264,0.285,1.37819,2.20673,1.7948,0.000636762,0.000636762,0.000636762
30,127.181,0.78255,1.19973,1.16894,0.63634,0.41667,0.43614,0.32998,1.29646,2.23077,1.71041,0.000608468,0.000608468,0.000608468
31,129.69,0.67524,1.10192,1.07988,0.63634,0.41667,0.43614,0.32998,1.29646,2.23077,1.71041,0.000580174,0.000580174,0.000580174
32,132.244,0.74075,1.20118,1.1044,0.56238,0.47222,0.4386,0.30954,1.32986,2.38718,1.72997,0.00055188,0.00055188,0.00055188
33,134.916,0.73685,1.1706,1.07931,0.54546,0.46816,0.44142,0.28427,1.39523,2.33534,1.78469,0.000523586,0.000523586,0.000523586
34,137.561,0.69211,1.21877,1.08633,0.72399,0.47222,0.48396,0.31664,1.40261,2.2137,1.7256,0.000495291,0.000495291,0.000495291
35,139.964,0.69468,1.04621,1.10408,0.72399,0.47222,0.48396,0.31664,1.40261,2.2137,1.7256,0.000466997,0.000466997,0.000466997
36,142.434,0.67997,1.10307,1.08899,0.77155,0.47222,0.50937,0.32426,1.42834,2.22615,1.70905,0.000438703,0.000438703,0.000438703
37,145.008,0.66369,1.03309,1.06583,0.7762,0.47222,0.49162,0.29366,1.50151,2.15991,1.82615,0.000410409,0.000410409,0.000410409
38,147.736,0.65815,1.0092,1.0479,0.74552,0.47222,0.48883,0.29922,1.4674,2.1626,1.91155,0.000382115,0.000382115,0.000382115
39,150.293,0.65365,1.02663,1.05838,0.74552,0.47222,0.48883,0.29922,1.4674,2.1626,1.91155,0.00035382,0.00035382,0.00035382
40,152.916,0.62424,0.9837,1.03731,0.71436,0.47222,0.49581,0.31876,1.42609,2.08175,1.90764,0.000325526,0.000325526,0.000325526
41,183.383,0.5693,1.61196,1.00467,0.64841,0.47222,0.4948,0.30466,1.38474,2.02341,1.86125,0.000297232,0.000297232,0.000297232
