epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1442,0.94878,3.94177,1.38792,0.30045,0.4092,0.29186,0.23006,1.05828,2.75101,1.2064,0.09505,5e-05,5e-05
2,158.891,1.03258,2.54523,1.5002,0.95161,0.38302,0.49548,0.30655,1.30222,2.35965,1.48736,0.0891089,0.000108911,0.000108911
3,236.729,0.89088,1.61275,1.26439,0.59564,0.52778,0.46202,0.23724,1.43965,2.69088,1.56956,0.0831666,0.000166634,0.000166634
4,439.474,1.09786,1.52258,1.46436,0.33252,0.41667,0.40187,0.18594,1.55664,2.22505,1.69278,0.0772232,0.000223169,0.000223169
5,521.819,0.9445,1.36075,1.22316,0.75773,0.43201,0.38419,0.18799,1.89956,2.43585,2.06158,0.0712785,0.000278516,0.000278516
6,598.198,1.19333,1.62109,1.41908,0.72168,0.29265,0.28838,0.1288,2.35287,2.70614,2.68315,0.0653327,0.000332675,0.000332675
7,672.967,1.09849,1.42801,1.3888,0.52075,0.47355,0.47806,0.16773,2.1232,3.11137,2.35168,0.0593856,0.000385646,0.000385646
8,751.928,1.25645,1.54619,1.48277,0.25087,0.53395,0.40228,0.13734,2.15347,3.97486,2.36225,0.0534374,0.000437429,0.000437429
9,824.427,1.10412,1.41016,1.4087,0.13065,0.38889,0.2132,0.07543,2.03448,4.1332,2.22784,0.047488,0.000488024,0.000488024
10,903.373,1.05749,1.27708,1.34672,0.13709,0.23611,0.22123,0.11664,1.79146,4.36263,1.96245,0.0415374,0.000537431,0.000537431
11,983.782,1.00183,1.27129,1.3181,0.07699,0.41667,0.16015,0.07146,1.85171,7.16674,2.03189,0.0355857,0.00058565,0.00058565
12,1053.11,1.01918,1.21103,1.34396,0.13366,0.48611,0.1595,0.09155,2.0659,6.25956,2.35447,0.0296327,0.000632681,0.000632681
13,1110.14,1.04898,1.31731,1.41855,0.41081,0.48336,0.33093,0.14012,2.08497,4.27083,2.5475,0.0236785,0.000678524,0.000678524
14,1208.97,1.20287,1.40479,1.54156,0.51176,0.47222,0.40769,0.24885,1.80138,3.1009,2.24825,0.0177232,0.000723179,0.000723179
15,1326.53,1.10633,1.23847,1.40063,0.51176,0.47222,0.40769,0.24885,1.80138,3.1009,2.24825,0.0117666,0.000766646,0.000766646
16,1407.98,1.03609,1.18268,1.3667,0.24226,0.43056,0.23445,0.12446,2.22889,3.40509,2.60472,0.00580892,0.000808925,0.000808925
17,1539.67,1.17494,1.37316,1.48661,0.48547,0.43056,0.3583,0.23531,1.68957,2.02585,2.02255,0.0008416,0.0008416,0.0008416
18,1611.06,1.12731,1.29317,1.46292,0.5394,0.45711,0.46197,0.2875,1.59628,2.0402,1.95399,0.0008317,0.0008317,0.0008317
19,1682.63,1.09841,1.23711,1.32396,0.5394,0.45711,0.46197,0.2875,1.59628,2.0402,1.95399,0.0008218,0.0008218,0.0008218
20,1754.77,1.04989,1.22531,1.31995,0.75333,0.38889,0.47759,0.28544,1.58197,1.98185,1.95564,0.0008119,0.0008119,0.0008119
21,1951.31,1.10592,1.23202,1.37631,0.45291,0.45638,0.40774,0.26317,1.56027,2.18955,1.96877,0.000802,0.000802,0.000802
22,2040.88,0.98804,1.14773,1.26388,0.34882,0.47222,0.37267,0.20029,1.67626,2.4219,2.22391,0.0007921,0.0007921,0.0007921
